,method,published_year,count_rel
8,convolutional neural network,2013,1.1764705882352942
11,convolutional neural network,2014,1.0752688172043012
13,convolutional neural network,2015,1.25
15,convolutional neural network,2016,3.937007874015748
17,convolutional neural network,2017,1.4814814814814816
18,convolutional neural network,2018,1.7543859649122806
0,support vector machine,2005,9.090909090909092
1,support vector machine,2006,12.76595744680851
2,support vector machine,2007,7.142857142857142
3,support vector machine,2008,14.705882352941178
4,support vector machine,2009,12.5
5,support vector machine,2010,23.0
6,support vector machine,2011,24.03846153846154
7,support vector machine,2012,16.346153846153847
9,support vector machine,2013,7.0588235294117645
10,support vector machine,2014,17.20430107526882
12,support vector machine,2015,20.0
14,support vector machine,2016,15.748031496062993
16,support vector machine,2017,11.11111111111111
19,support vector machine,2018,7.017543859649122
